0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
-2.0,0.0,-1.0,3.0,0.0,-1.0,-5.0,8.0,-3.0,-1.0,5.0,-2.0,1.0,0.0,1.0,2.1700000000000017,-1.0,-2.0,-2.0,-5.0,-9.0,-4.0,-2.0,3.0,-2.0,1.0,-1.0,-2.0,0.0,-1.0,-6.0,-2.0,3.0,-6.0,-4.0,3.0,6.0,2.0,2.0,8.0,-1.0,2.0,-9.0,0.0,4.0,9.0,-10.0,-2.0,-1.0,0.0,-5.0,0.0,0.0,9.0,2.0,3.8400000000000034,-2.0,1.0,-1.0,-5.0,2.0,-9.0,2.0,4.670000000000002,4.0,2.0
-1.0,2.0,0.0,1.0,2.0,-2.0,-4.0,-1.1700000000000017,-3.0,-1.0,6.0,-1.0,2.0,-1.0,2.0,3.0,4.0,-1.0,-1.0,-2.0,-9.0,-2.0,-1.0,-2.8299999999999983,-1.0,5.0,0.0,3.0,2.0,1.0,-6.0,-2.0,2.0,-4.0,-1.0,1.0,7.0,5.0,3.0,3.0,1.0,0.0,-9.0,2.0,7.0,11.0,-8.0,-4.5,-2.0,-1.0,-2.0,0.0,8.0,11.0,2.0,2.1700000000000017,-3.0,-2.0,-2.0,-5.0,3.0,-8.0,1.0,3.8400000000000034,4.0,2.0
-3.0,-1.0,-1.0,1.0,0.0,-1.0,-2.0,7.159999999999997,0.0,-6.0,2.0,3.0,2.0,0.0,2.0,7.170000000000002,2.0,-2.0,-2.0,-1.0,-9.0,-2.0,-1.0,11.340000000000003,-1.0,2.0,0.0,2.0,0.0,0.0,-6.0,3.8299999999999983,3.0,-2.0,-3.0,-1.0,5.0,4.0,1.0,9.670000000000002,1.0,2.0,-10.0,1.0,7.0,10.0,-8.0,-1.1700000000000017,-3.0,0.0,0.0,0.0,7.0,14.0,4.0,7.170000000000002,-3.0,0.0,-1.0,-4.0,3.0,-6.0,0.0,8.0,4.0,2.0
-1.0,1.0,-1.0,1.0,0.0,-3.0,-5.0,3.0,-1.0,-2.0,3.0,-5.0,4.0,0.0,2.0,10.5,0.0,-4.0,-2.0,-4.0,-9.0,-4.0,-5.0,-2.0,-2.0,4.0,-1.0,4.0,0.0,0.0,-6.0,8.829999999999998,2.0,-4.0,-4.0,1.0,5.0,2.0,0.0,4.670000000000002,3.0,4.0,-10.0,3.0,9.0,12.0,-6.0,7.170000000000002,-3.0,2.0,-5.0,-2.0,1.0,11.0,0.0,5.5,0.0,0.0,-1.0,-5.0,1.0,-8.0,2.0,6.340000000000003,4.0,2.0
-1.0,3.0,-1.0,2.0,0.0,-2.0,-4.0,8.0,-2.0,-2.0,4.0,-1.0,1.0,1.0,2.0,5.5,1.0,-5.0,-3.0,-3.0,-10.0,-5.0,-1.0,3.8400000000000034,-2.0,3.0,0.0,-3.0,0.0,-1.0,-5.0,-1.1700000000000017,1.0,6.0,-3.0,1.0,6.0,3.0,0.0,5.5,1.0,0.0,-11.0,2.0,5.0,8.0,-6.0,-1.1700000000000017,-3.0,0.0,-4.0,-1.0,0.0,9.0,4.0,0.5,-3.0,-1.0,-1.0,-6.0,2.0,-8.0,2.0,8.0,4.0,2.0
-8.0,1.0,-1.0,2.0,0.0,-1.0,-4.0,3.8299999999999983,-1.0,-1.0,4.0,-1.0,5.0,0.0,0.0,9.670000000000002,0.0,-1.0,-2.0,-4.0,-8.0,-6.0,-1.0,-2.0,-2.0,2.0,1.0,0.0,2.0,-2.0,-6.0,10.5,2.0,-7.0,-7.0,-1.0,6.0,1.0,-1.0,10.5,0.0,2.0,-8.0,2.0,7.0,8.0,-8.0,5.5,-1.0,0.0,-3.0,0.0,0.0,8.0,3.0,3.8400000000000034,-3.0,1.0,-1.0,-5.0,1.0,-8.0,2.0,3.8400000000000034,4.0,2.0
-3.0,0.0,0.0,3.0,1.0,0.0,-2.0,1.3299999999999983,-2.0,-3.0,3.0,-1.0,-1.0,-2.0,0.0,8.840000000000003,3.0,0.0,1.0,-3.0,-11.0,-1.0,0.0,8.840000000000003,5.0,4.0,0.0,1.0,2.0,1.0,-6.0,9.659999999999997,2.0,-6.0,-3.0,-1.0,8.0,3.0,-4.0,2.1599999999999966,3.0,1.0,-9.0,3.0,8.0,10.0,-18.0,-3.6700000000000017,-2.0,0.0,-2.0,4.0,4.0,11.0,3.0,3.8299999999999983,-5.0,3.0,-2.0,10.0,1.0,-10.0,10.0,5.5,4.0,2.0
-11.0,2.0,0.0,1.0,1.0,-2.0,-4.0,-1.1700000000000017,-2.0,-1.0,4.0,-1.0,0.0,-1.0,1.0,0.5,4.0,-1.0,-1.0,-4.0,-10.0,-1.0,-2.0,-2.8299999999999983,-1.0,5.0,1.0,-1.0,3.0,1.0,-5.0,-2.8299999999999983,1.0,0.0,0.0,1.0,8.0,5.0,2.0,-0.3299999999999983,2.0,-1.0,-9.0,2.0,5.0,9.0,-15.0,-9.5,-4.0,-2.0,-2.0,-1.0,6.0,10.0,3.0,0.5,-3.0,-1.0,-2.0,-4.0,1.0,-11.0,1.0,3.8400000000000034,4.0,2.0
-5.0,-1.0,0.0,2.0,1.0,-2.0,-4.0,2.1599999999999966,-2.0,-2.0,6.0,7.0,0.0,0.0,-3.0,5.5,3.0,-1.0,1.0,-1.0,-9.0,-5.0,0.0,2.1700000000000017,-2.0,4.0,-1.0,1.0,1.0,-3.0,-6.0,10.5,1.0,2.0,-4.0,0.0,8.0,0.0,0.0,-2.8400000000000034,4.0,3.0,-10.0,1.0,8.0,9.0,-18.0,-9.5,-6.0,-2.0,-1.0,-2.0,1.0,9.0,2.0,5.5,-3.0,1.0,0.0,-4.0,0.0,-8.0,2.0,6.340000000000003,4.0,2.0
-2.0,1.0,-3.0,2.0,0.0,-4.0,-4.0,6.329999999999998,-2.0,0.0,4.0,1.0,2.0,3.0,1.0,1.3299999999999983,2.0,-1.0,-1.0,-3.0,-8.0,-5.0,-2.0,-0.3299999999999983,-3.0,3.0,-1.0,3.0,0.0,-1.0,-5.0,8.0,3.0,-1.0,-2.0,0.0,4.0,-1.0,-1.0,6.329999999999998,1.0,3.0,-11.0,1.0,8.0,8.0,-17.0,-0.3400000000000034,-4.0,0.0,-3.0,0.0,3.0,9.0,5.0,3.8299999999999983,-1.0,2.0,0.0,-8.0,5.0,-16.0,3.0,5.5,4.0,2.0
-11.0,1.0,0.0,1.0,1.0,-1.0,-2.0,-1.1599999999999966,1.0,1.0,6.0,0.0,3.0,0.0,0.0,1.3299999999999983,1.0,0.0,-3.0,-2.0,-7.0,-1.0,0.0,2.1599999999999966,-1.0,5.0,-1.0,0.0,0.0,1.0,-8.0,4.659999999999997,1.0,4.0,3.0,2.0,6.0,-5.0,-2.0,4.670000000000002,2.0,-1.0,-11.0,1.0,7.0,6.0,-17.0,3.8299999999999983,-5.0,-2.0,-1.0,1.0,3.0,14.0,1.0,3.0,-2.0,-1.0,-2.0,-5.0,3.0,-17.0,1.0,-1.1700000000000017,4.0,2.0
-1.0,2.0,-1.0,3.0,2.0,-3.0,-3.0,3.8400000000000034,-1.0,-3.0,4.0,6.0,2.0,1.0,1.0,8.0,3.0,0.0,0.0,1.0,-8.0,-2.0,0.0,0.5,-1.0,4.0,1.0,-1.0,3.0,-1.0,-6.0,-6.159999999999997,2.0,-9.0,-1.0,-1.0,7.0,0.0,-1.0,1.3400000000000034,1.0,0.0,-11.0,1.0,5.0,8.0,-15.0,4.670000000000002,-3.0,0.0,-1.0,0.0,2.0,10.0,2.0,8.0,-1.0,1.0,-1.0,-6.0,1.0,-14.0,3.0,4.659999999999997,4.0,2.0
-2.0,0.0,0.0,3.0,2.0,-5.0,-4.0,-3.6700000000000017,-4.0,1.0,5.0,1.0,1.0,0.0,1.0,2.1700000000000017,0.0,0.0,-2.0,3.0,-8.0,-2.0,0.0,-3.6700000000000017,0.0,5.0,-1.0,-8.0,1.0,0.0,-6.0,-7.0,2.0,1.0,3.0,0.0,7.0,3.0,1.0,8.0,3.0,3.0,-10.0,1.0,8.0,10.0,-12.0,3.0,-3.0,-1.0,-1.0,-3.0,6.0,15.0,1.0,3.0,-3.0,0.0,9.0,-6.0,1.0,-15.0,0.0,-2.8299999999999983,4.0,2.0
-1.0,0.0,-5.0,0.0,8.0,-5.0,-1.0,7.5,-1.0,0.0,-2.0,1.0,-1.0,-3.0,-2.0,5.840000000000003,-1.0,0.0,0.0,2.0,2.0,7.0,-2.0,11.670000000000002,-4.0,-1.0,-1.0,0.0,-4.0,-3.0,-4.0,11.670000000000002,1.0,0.0,1.0,-1.0,4.0,-4.0,0.0,3.3400000000000034,7.0,-2.0,2.0,0.0,3.0,1.0,-2.0,1.6700000000000017,-4.0,-1.0,7.0,-2.0,-3.0,1.0,0.0,1.6700000000000017,1.0,3.0,-1.0,-2.0,-1.0,-2.0,-1.0,3.3400000000000034,4.0,2.0
0.0,1.0,1.0,1.0,6.0,-3.0,1.0,3.3400000000000034,-1.0,0.0,-2.0,0.0,-1.0,-3.0,0.0,3.3400000000000034,0.0,2.0,-1.0,2.0,-2.0,5.0,1.0,8.329999999999998,-2.0,-1.0,-1.0,-1.0,-4.0,-2.0,-1.0,10.829999999999998,-1.0,-1.0,5.0,0.0,4.0,-3.0,0.0,5.0,13.0,0.0,-1.0,0.0,-2.0,1.0,-2.0,3.3299999999999983,-2.0,-2.0,9.0,-1.0,-5.0,1.0,1.0,0.8299999999999983,1.0,1.0,-2.0,-1.0,0.0,-1.0,0.0,1.6700000000000017,4.0,2.0
1.0,0.0,1.0,2.0,6.0,-2.0,2.0,6.659999999999997,-1.0,4.0,-2.0,-3.0,-1.0,-2.0,0.0,3.3400000000000034,-4.0,-1.0,0.0,0.0,-2.0,6.0,-4.0,8.329999999999998,0.0,-2.0,-1.0,0.0,1.0,0.0,0.0,9.159999999999997,-1.0,-2.0,2.0,-1.0,3.0,0.0,-2.0,5.0,6.0,0.0,-3.0,-2.0,0.0,-1.0,0.0,2.5,-2.0,0.0,4.0,-2.0,1.0,0.0,1.0,0.8299999999999983,3.0,1.0,-1.0,-2.0,-1.0,-1.0,0.0,0.0,4.0,2.0
-1.0,1.0,-2.0,0.0,7.0,-3.0,0.0,5.0,-1.0,0.0,-2.0,2.0,1.0,-2.0,-1.0,3.3400000000000034,1.0,0.0,-2.0,2.0,3.0,7.0,-2.0,5.0,0.0,-1.0,-1.0,0.0,-1.0,-3.0,-2.0,5.840000000000003,1.0,-2.0,1.0,-2.0,3.0,-5.0,-1.0,3.3400000000000034,6.0,-1.0,1.0,1.0,3.0,0.0,-3.0,0.0,-4.0,-3.0,7.0,0.0,-3.0,-1.0,-1.0,0.8299999999999983,0.0,0.0,0.0,2.0,0.0,-1.0,0.0,0.8400000000000034,4.0,2.0
-1.0,-1.0,-1.0,1.0,6.0,-2.0,0.0,5.829999999999998,0.0,0.0,2.0,1.0,-2.0,0.0,-2.0,2.5,-2.0,-1.0,-2.0,1.0,-3.0,5.0,-1.0,6.670000000000002,5.0,0.0,-1.0,-1.0,8.0,0.0,1.0,7.5,1.0,-1.0,0.0,-3.0,-1.0,1.0,-2.0,4.170000000000002,5.0,-2.0,-1.0,0.0,-2.0,3.0,-1.0,2.5,-3.0,1.0,10.0,-1.0,-2.0,2.0,3.0,0.8299999999999983,1.0,1.0,-1.0,-1.0,0.0,-5.0,0.0,0.8299999999999983,4.0,2.0
0.0,3.0,-2.0,0.0,-3.0,-5.0,1.0,4.170000000000002,-1.0,-1.0,2.0,-2.0,-1.0,-1.0,2.0,1.6700000000000017,5.0,1.0,0.0,3.0,5.0,7.0,-1.0,3.3400000000000034,-1.0,0.0,-2.0,0.0,-1.0,-14.0,0.0,7.5,1.0,0.0,1.0,-1.0,6.0,-3.0,-1.0,3.3299999999999983,9.0,0.0,1.0,-2.0,3.0,2.0,-1.0,1.6700000000000017,-5.0,-4.0,8.0,0.0,-5.0,2.0,-1.0,0.8299999999999983,0.0,-1.0,-2.0,-2.0,0.0,-2.0,-1.0,0.0,4.0,2.0
-1.0,1.0,-3.0,-2.0,5.0,-4.0,-1.0,4.170000000000002,1.0,1.0,-1.0,1.0,0.0,-1.0,0.0,1.6700000000000017,2.0,2.0,-2.0,0.0,2.0,6.0,-1.0,2.5,-1.0,-1.0,-1.0,0.0,0.0,-2.0,-1.0,6.670000000000002,0.0,1.0,4.0,-3.0,8.0,-2.0,-1.0,1.6700000000000017,6.0,1.0,4.0,-2.0,5.0,3.0,-1.0,2.5,-8.0,-3.0,9.0,-1.0,-4.0,0.0,0.0,0.8299999999999983,1.0,-2.0,-1.0,-2.0,-2.0,-1.0,-1.0,0.0,4.0,2.0
1.0,0.0,2.0,-8.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,5.0,3.0,4.0,0.8400000000000034,-1.0,0.0,1.0,7.0,4.0,7.0,0.0,1.6599999999999966,1.0,7.0,0.0,-1.0,6.0,-2.0,0.0,0.0,-12.0,6.0,5.0,1.0,-3.0,5.0,1.0,0.8299999999999983,3.0,6.0,3.0,11.0,0.0,2.0,3.0,-0.8400000000000034,0.0,2.0,8.0,-1.0,4.0,1.0,0.0,-1.6700000000000017,1.0,3.0,-3.0,3.0,2.0,0.0,0.0,-2.5,4.0,2.0
0.0,1.0,-1.0,-9.0,3.0,-1.0,1.0,-0.8400000000000034,-4.0,0.0,5.0,0.0,4.0,8.0,0.0,-0.8299999999999983,0.0,1.0,3.0,4.0,1.0,8.0,-6.0,-2.5,0.0,0.0,-5.0,-10.0,1.0,0.0,1.0,0.8299999999999983,-7.0,-4.0,2.0,-12.0,-9.0,-2.0,-2.0,4.170000000000002,0.0,7.0,-2.0,2.0,-10.0,-2.0,0.0,9.159999999999997,0.0,2.0,6.0,0.0,0.0,-3.0,-1.0,-1.6700000000000017,2.0,3.0,-1.0,0.0,2.0,1.0,-1.0,-3.3400000000000034,4.0,2.0
0.0,0.0,2.0,-9.0,1.0,-1.0,1.0,0.0,1.0,1.0,5.0,2.0,3.0,5.0,3.0,0.0,-2.0,1.0,-1.0,9.0,0.0,3.0,0.0,0.8299999999999983,-2.0,3.0,-1.0,2.0,5.0,-3.0,0.0,-1.6700000000000017,-8.0,4.0,6.0,3.0,-2.0,4.0,0.0,0.0,1.0,3.0,1.0,8.0,-4.0,1.0,2.0,-1.6700000000000017,1.0,3.0,6.0,-1.0,5.0,1.0,0.0,-8.340000000000003,1.0,4.0,0.0,-1.0,1.0,-1.0,-2.0,-3.3400000000000034,4.0,2.0
3.0,2.0,2.0,-8.0,3.0,1.0,2.0,-9.170000000000002,1.0,6.0,3.0,-2.0,2.0,1.0,-3.0,2.5,2.0,6.0,-3.0,0.0,-2.0,7.0,0.0,2.5,2.0,1.0,-3.0,-11.0,1.0,0.0,3.0,0.8299999999999983,-6.0,-3.0,1.0,-11.0,-8.0,0.0,-4.0,4.170000000000002,2.0,-2.0,-3.0,18.0,-10.0,-2.0,1.0,10.0,1.0,5.0,3.0,-2.0,1.0,0.0,-1.0,-0.8400000000000034,5.0,-1.0,2.0,3.0,-3.0,1.0,-1.0,-1.6700000000000017,4.0,2.0
-1.0,-3.0,4.0,-8.0,4.0,0.0,1.0,0.0,1.0,0.0,6.0,2.0,5.0,3.0,3.0,0.0,0.0,1.0,1.0,7.0,0.0,7.0,-1.0,0.0,1.0,3.0,0.0,7.0,5.0,-5.0,-1.0,-1.6700000000000017,-8.0,4.0,8.0,6.0,-4.0,4.0,-1.0,0.8299999999999983,3.0,4.0,2.0,9.0,-2.0,1.0,3.0,-0.8400000000000034,-2.0,5.0,9.0,-2.0,4.0,0.0,-1.0,-0.8400000000000034,-1.0,3.0,0.0,-2.0,1.0,2.0,-1.0,-2.5,4.0,2.0
0.0,-1.0,3.0,-9.0,5.0,0.0,2.0,-0.8400000000000034,0.0,1.0,5.0,1.0,4.0,4.0,4.0,-10.829999999999998,-1.0,7.0,-5.0,-1.0,-3.0,6.0,1.0,0.8299999999999983,2.0,3.0,-3.0,-9.0,2.0,-1.0,2.0,0.8299999999999983,-6.0,-4.0,-1.0,-13.0,-10.0,2.0,-4.0,4.170000000000002,1.0,-2.0,-2.0,0.0,-10.0,-2.0,1.0,9.159999999999997,-5.0,2.0,5.0,1.0,0.0,-3.0,-4.0,-0.8400000000000034,1.0,4.0,0.0,0.0,-1.0,2.0,-1.0,-4.170000000000002,4.0,2.0
1.0,2.0,-1.0,-8.0,3.0,1.0,3.0,-0.8299999999999983,0.0,0.0,5.0,1.0,5.0,5.0,0.0,0.8400000000000034,-1.0,1.0,6.0,4.0,3.0,8.0,0.0,0.8299999999999983,-1.0,4.0,1.0,2.0,5.0,-2.0,-2.0,-1.6700000000000017,-9.0,0.0,6.0,-1.0,-4.0,8.0,-1.0,0.8299999999999983,10.0,4.0,0.0,6.0,-4.0,1.0,0.0,-0.8400000000000034,-1.0,3.0,7.0,-2.0,2.0,2.0,0.0,-1.6700000000000017,1.0,-2.0,0.0,-1.0,-1.0,0.0,3.0,-2.5,4.0,2.0
-1.0,-10.0,3.0,-5.0,4.0,1.0,1.0,-0.8299999999999983,-1.0,1.0,2.0,-1.0,4.0,6.0,2.0,-0.8299999999999983,-2.0,0.0,2.0,4.0,5.0,8.0,-1.0,-2.5,3.0,2.0,-2.0,-11.0,1.0,-1.0,1.0,0.8299999999999983,-1.0,-3.0,0.0,-8.0,-9.0,0.0,-2.0,4.170000000000002,3.0,4.0,4.0,3.0,-3.0,3.0,2.0,-13.340000000000003,-4.0,1.0,6.0,-3.0,0.0,-1.0,-4.0,-1.6700000000000017,3.0,2.0,1.0,1.0,1.0,1.0,-4.0,-3.3400000000000034,4.0,2.0
0.0,1.0,3.0,-7.0,7.0,1.0,3.0,-0.8299999999999983,-1.0,2.0,4.0,2.0,3.0,2.0,2.0,-0.8400000000000034,0.0,1.0,1.0,4.0,1.0,2.0,-1.0,0.8299999999999983,2.0,4.0,2.0,6.0,7.0,-1.0,-3.0,-1.6700000000000017,-6.0,3.0,5.0,6.0,-4.0,4.0,0.0,0.0,2.0,10.0,1.0,9.0,-6.0,-3.0,0.0,-1.6700000000000017,0.0,4.0,1.0,-2.0,5.0,2.0,-2.0,-2.5,2.0,3.0,1.0,-1.0,0.0,2.0,-2.0,-2.5,4.0,2.0
1.0,0.0,4.0,-6.0,4.0,1.0,1.0,-0.8299999999999983,1.0,1.0,5.0,2.0,4.0,5.0,2.0,-0.8400000000000034,0.0,2.0,2.0,6.0,4.0,7.0,0.0,0.0,2.0,5.0,1.0,3.0,6.0,-3.0,-1.0,-16.67,0.0,1.0,7.0,4.0,-4.0,3.0,1.0,0.0,2.0,6.0,2.0,4.0,-4.0,0.0,-2.0,-1.6700000000000017,-1.0,3.0,8.0,0.0,2.0,-1.0,-1.0,-1.6700000000000017,1.0,-1.0,-2.0,-2.0,0.0,0.0,-2.0,-3.3400000000000034,4.0,2.0
2.0,3.0,2.0,-5.0,4.0,3.0,2.0,-0.8299999999999983,3.0,2.0,6.0,2.0,3.0,5.0,4.0,0.0,-1.0,1.0,1.0,6.0,1.0,5.0,0.0,0.0,3.0,5.0,1.0,4.0,4.0,-2.0,-5.0,-1.6700000000000017,-6.0,3.0,5.0,6.0,-2.0,3.0,-1.0,0.8299999999999983,9.0,5.0,2.0,5.0,-4.0,1.0,1.0,-0.8400000000000034,-1.0,5.0,5.0,-4.0,5.0,2.0,-3.0,-1.6700000000000017,2.0,4.0,-1.0,1.0,2.0,2.0,1.0,-2.5,4.0,2.0
1.0,-1.0,2.0,-6.0,1.0,1.0,2.0,-0.8299999999999983,0.0,1.0,5.0,1.0,5.0,3.0,0.0,0.0,-1.0,1.0,3.0,5.0,2.0,4.0,11.0,0.0,-1.0,4.0,2.0,3.0,3.0,-5.0,-1.0,-2.5,-6.0,2.0,4.0,1.0,-6.0,6.0,-2.0,0.8299999999999983,1.0,4.0,1.0,5.0,-9.0,0.0,0.0,-0.8400000000000034,0.0,5.0,6.0,-2.0,6.0,2.0,-2.0,-0.8400000000000034,1.0,2.0,0.0,-1.0,-2.0,0.0,-5.0,-2.5,4.0,2.0
1.0,0.0,3.0,-7.0,3.0,0.0,2.0,-0.8299999999999983,0.0,1.0,4.0,2.0,5.0,5.0,4.0,0.0,1.0,-1.0,2.0,2.0,0.0,5.0,0.0,0.0,1.0,5.0,0.0,4.0,2.0,-4.0,-4.0,-0.8299999999999983,-6.0,0.0,7.0,6.0,-2.0,6.0,-1.0,0.8299999999999983,3.0,6.0,1.0,6.0,-3.0,2.0,6.0,-0.8400000000000034,0.0,4.0,5.0,-3.0,5.0,1.0,-1.0,-1.6700000000000017,2.0,2.0,1.0,-1.0,0.0,2.0,-1.0,-2.5,4.0,2.0
-4.0,-2.0,2.0,-8.0,1.0,0.0,0.0,-1.6700000000000017,-1.0,1.0,6.0,0.0,4.0,3.0,3.0,-1.6700000000000017,-1.0,0.0,2.0,4.0,3.0,5.0,3.0,-3.3299999999999983,2.0,3.0,-4.0,-9.0,0.0,-1.0,3.0,1.6700000000000017,-5.0,-5.0,1.0,-9.0,-10.0,1.0,-6.0,4.170000000000002,1.0,3.0,3.0,2.0,-4.0,3.0,4.0,-12.5,-2.0,14.0,5.0,-2.0,1.0,-3.0,-2.0,-1.6700000000000017,1.0,3.0,0.0,-2.0,1.0,0.0,-1.0,-3.3400000000000034,4.0,2.0
2.0,2.0,1.0,-6.0,2.0,-2.0,2.0,-0.8299999999999983,-3.0,0.0,5.0,0.0,3.0,4.0,2.0,0.0,0.0,1.0,0.0,6.0,3.0,6.0,0.0,0.8299999999999983,0.0,6.0,1.0,0.0,5.0,-2.0,-2.0,0.0,-9.0,0.0,8.0,-2.0,-5.0,2.0,-2.0,0.8299999999999983,-1.0,3.0,3.0,11.0,-2.0,1.0,0.0,-0.8400000000000034,0.0,4.0,8.0,-2.0,5.0,1.0,-2.0,-1.6700000000000017,1.0,1.0,0.0,0.0,-4.0,-1.0,-2.0,-2.5,4.0,2.0
1.0,1.0,0.0,-5.0,4.0,3.0,1.0,-0.8299999999999983,2.0,1.0,5.0,2.0,6.0,5.0,2.0,0.8400000000000034,-2.0,2.0,2.0,3.0,2.0,2.0,1.0,-1.6700000000000017,1.0,6.0,3.0,4.0,4.0,-3.0,-1.0,0.0,-7.0,3.0,5.0,1.0,-2.0,6.0,0.0,0.8299999999999983,-3.0,5.0,3.0,4.0,-1.0,3.0,1.0,-0.8400000000000034,1.0,-3.0,7.0,1.0,6.0,2.0,-3.0,-1.6700000000000017,-1.0,2.0,0.0,-2.0,-2.0,0.0,-4.0,-2.5,4.0,2.0
-1.0,0.0,2.0,-10.0,1.0,0.0,2.0,-0.8299999999999983,-1.0,2.0,8.0,1.0,3.0,4.0,2.0,-0.8299999999999983,0.0,0.0,2.0,4.0,1.0,6.0,-1.0,-0.8299999999999983,4.0,2.0,-4.0,-11.0,2.0,-2.0,4.0,1.6700000000000017,-7.0,1.0,0.0,3.0,-5.0,5.0,0.0,-10.829999999999998,1.0,2.0,4.0,5.0,-4.0,1.0,1.0,-2.5,0.0,4.0,6.0,-1.0,0.0,-1.0,-3.0,-0.8299999999999983,4.0,3.0,2.0,-1.0,6.0,0.0,-3.0,-3.3400000000000034,4.0,2.0
2.0,0.0,4.0,-7.0,2.0,1.0,3.0,-0.8299999999999983,1.0,1.0,4.0,2.0,5.0,4.0,2.0,0.8400000000000034,-2.0,1.0,0.0,5.0,2.0,5.0,1.0,-0.8299999999999983,-3.0,5.0,0.0,4.0,3.0,-4.0,0.0,-1.6599999999999966,-8.0,2.0,9.0,9.0,-2.0,0.0,-2.0,0.8299999999999983,0.0,4.0,3.0,4.0,-3.0,1.0,2.0,-0.8400000000000034,3.0,4.0,8.0,-2.0,2.0,1.0,-1.0,-0.8400000000000034,1.0,2.0,0.0,2.0,0.0,-3.0,-1.0,-2.5,4.0,2.0
0.0,0.0,0.0,2.0,-3.0,0.0,0.0,1.6700000000000017,-1.0,-1.0,0.0,0.0,-3.0,4.0,-1.0,0.8400000000000034,2.0,-1.0,2.0,1.0,1.0,0.0,-3.0,5.0,0.0,-1.0,1.0,0.0,-4.0,0.0,1.0,4.170000000000002,1.0,0.0,1.0,1.0,0.0,-4.0,3.0,1.6599999999999966,-2.0,-4.0,-2.0,-2.0,0.0,2.0,-1.0,2.5,1.0,5.0,-1.0,-2.0,0.0,2.0,3.0,-0.8299999999999983,-1.0,-1.0,-1.0,0.0,2.0,0.0,1.0,-2.5,4.0,2.0
-1.0,0.0,1.0,0.0,-3.0,1.0,-2.0,1.6700000000000017,0.0,0.0,1.0,-1.0,-3.0,2.0,-2.0,0.8400000000000034,0.0,1.0,1.0,3.0,3.0,-2.0,-5.0,5.0,1.0,1.0,1.0,1.0,-1.0,-3.0,1.0,4.170000000000002,1.0,1.0,0.0,0.0,-1.0,-2.0,3.0,1.6599999999999966,0.0,-3.0,1.0,-1.0,-1.0,1.0,-1.0,2.5,-1.0,3.0,-2.0,-3.0,-3.0,0.0,0.0,-0.8299999999999983,0.0,-1.0,-2.0,0.0,0.0,-1.0,-1.0,-2.5,4.0,2.0
-1.0,-2.0,2.0,1.0,-4.0,-1.0,-1.0,1.6700000000000017,1.0,1.0,-1.0,0.0,0.0,3.0,0.0,0.8400000000000034,0.0,0.0,1.0,2.0,1.0,-3.0,-2.0,4.170000000000002,1.0,-1.0,3.0,-1.0,-1.0,-3.0,-2.0,3.3299999999999983,1.0,2.0,0.0,1.0,-1.0,-2.0,4.0,0.8299999999999983,-1.0,-2.0,2.0,-2.0,-1.0,0.0,-1.0,1.6700000000000017,-1.0,3.0,-4.0,-3.0,0.0,-1.0,-2.0,-0.8299999999999983,-2.0,-1.0,0.0,2.0,1.0,0.0,1.0,-2.5,4.0,2.0
2.0,1.0,1.0,4.0,-6.0,-1.0,0.0,1.6700000000000017,0.0,-2.0,0.0,-5.0,-1.0,3.0,-2.0,0.8400000000000034,-1.0,0.0,1.0,0.0,1.0,-4.0,-1.0,5.0,0.0,-2.0,0.0,-1.0,2.0,-6.0,-2.0,3.3299999999999983,4.0,-2.0,-3.0,-4.0,-1.0,-3.0,-1.0,1.6599999999999966,-1.0,6.0,1.0,-2.0,-3.0,-1.0,0.0,1.6700000000000017,-1.0,4.0,-2.0,0.0,-1.0,1.0,-2.0,-0.8299999999999983,-1.0,1.0,-1.0,-1.0,0.0,0.0,-3.0,-2.5,4.0,2.0
0.0,-1.0,1.0,1.0,-1.0,0.0,2.0,1.6700000000000017,1.0,-2.0,1.0,0.0,-3.0,6.0,0.0,0.8400000000000034,-3.0,-1.0,1.0,0.0,-2.0,-3.0,-1.0,5.0,-2.0,-2.0,1.0,0.0,-1.0,-3.0,1.0,3.3299999999999983,-1.0,-1.0,1.0,0.0,0.0,-2.0,3.0,1.6599999999999966,-3.0,-2.0,1.0,-3.0,-3.0,-2.0,5.0,2.5,-3.0,5.0,-2.0,0.0,-3.0,0.0,0.0,-0.8299999999999983,0.0,-5.0,0.0,1.0,0.0,2.0,-1.0,-1.6599999999999966,4.0,2.0
1.0,1.0,1.0,1.0,-1.0,-4.0,-2.0,1.6700000000000017,1.0,1.0,0.0,0.0,-5.0,3.0,-1.0,0.8400000000000034,1.0,-2.0,1.0,-1.0,1.0,-1.0,-2.0,5.0,1.0,1.0,0.0,1.0,0.0,-2.0,1.0,4.170000000000002,3.0,0.0,0.0,1.0,0.0,1.0,2.0,1.6599999999999966,-2.0,-2.0,-1.0,0.0,-1.0,0.0,2.0,2.5,-1.0,5.0,-2.0,-6.0,-4.0,2.0,-1.0,-0.8299999999999983,-1.0,-1.0,0.0,0.0,1.0,0.0,-3.0,-2.5,4.0,2.0
